,Profil,Plage de puissance souscrite,Région,total_enr_cons
104,RES11 (+ RES11WE),P8: ]24-30] kVA,Centre-Val de Loire,20407516947.0
105,RES11 (+ RES11WE),P8: ]24-30] kVA,Hauts-de-France,13500306952.0
106,RES11 (+ RES11WE),P9: ]30-36] kVA,Centre-Val de Loire,62151778529.0
107,RES11 (+ RES11WE),P9: ]30-36] kVA,Hauts-de-France,58371776792.0
108,RES2 (+ RES5),P0: Total <= 36 kVA,Centre-Val de Loire,7762310133783.0
109,RES2 (+ RES5),P0: Total <= 36 kVA,Hauts-de-France,13516728137925.0
110,RES2 (+ RES5),P1: ]0-6] kVA,Centre-Val de Loire,1600089691747.0
111,RES2 (+ RES5),P1: ]0-6] kVA,Hauts-de-France,4967291850867.0
112,RES2 (+ RES5),P3: ]6-9] kVA,Centre-Val de Loire,3121952627129.0
113,RES2 (+ RES5),P3: ]6-9] kVA,Hauts-de-France,4827244787074.0
114,RES2 (+ RES5),P4: ]9-12] kVA,Centre-Val de Loire,1938020010978.0
115,RES2 (+ RES5),P4: ]9-12] kVA,Hauts-de-France,2458329231743.0
116,RES2 (+ RES5),P5: ]12-15] kVA,Centre-Val de Loire,418412828330.0
117,RES2 (+ RES5),P5: ]12-15] kVA,Hauts-de-France,432178944138.0
118,RES2 (+ RES5),P6: ]15-18] kVA,Centre-Val de Loire,472408704145.0
119,RES2 (+ RES5),P6: ]15-18] kVA,Hauts-de-France,580123131271.0
120,RES2 (+ RES5),P7: ]18-24] kVA,Centre-Val de Loire,99547362941.0
121,RES2 (+ RES5),P7: ]18-24] kVA,Hauts-de-France,111028928848.0
122,RES2 (+ RES5),P8: ]24-30] kVA,Centre-Val de Loire,34330655908.0
123,RES2 (+ RES5),P8: ]24-30] kVA,Hauts-de-France,40631222820.0
124,RES2 (+ RES5),P9: ]30-36] kVA,Centre-Val de Loire,77137317475.0
125,RES2 (+ RES5),P9: ]30-36] kVA,Hauts-de-France,99862526794.0
126,RES2WE,P0: Total <= 36 kVA,Centre-Val de Loire,143390081543.0
127,RES2WE,P0: Total <= 36 kVA,Hauts-de-France,312138050806.0
128,RES2WE,P1: ]0-6] kVA,Centre-Val de Loire,38592887254.0
129,RES2WE,P1: ]0-6] kVA,Hauts-de-France,123369232152.0
130,RES2WE,P3: ]6-9] kVA,Centre-Val de Loire,61262390567.0
131,RES2WE,P3: ]6-9] kVA,Hauts-de-France,123879120065.0
132,RES2WE,P4: ]9-12] kVA,Centre-Val de Loire,29194560852.0
133,RES2WE,P4: ]9-12] kVA,Hauts-de-France,48404660272.0
134,RES2WE,P5: ]12-15] kVA,Centre-Val de Loire,5864874276.0
135,RES2WE,P5: ]12-15] kVA,Hauts-de-France,7166333714.0
136,RES2WE,P6: ]15-36] kVA,Centre-Val de Loire,8475298296.0
137,RES2WE,P6: ]15-36] kVA,Hauts-de-France,9318483863.0
138,RES3,P0: Total <= 36 kVA,Centre-Val de Loire,221016327170.0
139,RES3,P0: Total <= 36 kVA,Hauts-de-France,347351113193.0
140,RES3,P1: ]0-9] kVA,Centre-Val de Loire,105524731142.0
141,RES3,P1: ]0-9] kVA,Hauts-de-France,192293629556.0
142,RES3,P4: ]9-12] kVA,Centre-Val de Loire,44584148776.0
143,RES3,P4: ]9-12] kVA,Hauts-de-France,77934597216.0
144,RES3,P5: ]12-15] kVA,Centre-Val de Loire,10922586209.0
145,RES3,P5: ]12-15] kVA,Hauts-de-France,12302027212.0
146,RES3,P6: ]15-18] kVA,Centre-Val de Loire,44185907734.0
147,RES3,P6: ]15-18] kVA,Hauts-de-France,48938301214.0
148,RES3,P7: ]18-30] kVA,Centre-Val de Loire,7831118034.0
149,RES3,P7: ]18-30] kVA,Hauts-de-France,6302966546.0
150,RES3,P9: ]30-36] kVA,Centre-Val de Loire,4473352280.0
151,RES3,P9: ]30-36] kVA,Hauts-de-France,3324359094.0
152,RES4,P0: Total <= 36 kVA,Centre-Val de Loire,222504955082.0
153,RES4,P0: Total <= 36 kVA,Hauts-de-France,305392386192.0
154,RES4,P1: ]0-9] kVA,Centre-Val de Loire,1698662645.0
155,RES4,P1: ]0-9] kVA,Hauts-de-France,4279210198.0
156,RES4,P4: ]9-12] kVA,Centre-Val de Loire,84962491296.0
157,RES4,P4: ]9-12] kVA,Hauts-de-France,135197912938.0
158,RES4,P5: ]12-15] kVA,Centre-Val de Loire,18144453662.0
159,RES4,P5: ]12-15] kVA,Hauts-de-France,19036843141.0
160,RES4,P6: ]15-18] kVA,Centre-Val de Loire,109009625394.0
161,RES4,P6: ]15-18] kVA,Hauts-de-France,139385548407.0
162,RES4,P7: ]18-36] kVA,Centre-Val de Loire,8689652056.0
163,RES4,P7: ]18-36] kVA,Hauts-de-France,7492801400.0
