,Date,Région,Total énergie soutirée (Wh)
152,2022-06-16,Centre-Val de Loire,14578.319549
153,2022-06-16,Hauts-de-France,29218.051255
154,2022-06-17,Centre-Val de Loire,14959.792838
155,2022-06-17,Hauts-de-France,29981.322982
156,2022-06-18,Centre-Val de Loire,15110.580701
157,2022-06-18,Hauts-de-France,30320.562271
158,2022-06-19,Centre-Val de Loire,14724.856428
159,2022-06-19,Hauts-de-France,29571.620785
160,2022-06-20,Centre-Val de Loire,14440.276267
161,2022-06-20,Hauts-de-France,29001.741618
162,2022-06-21,Centre-Val de Loire,14191.174414
163,2022-06-21,Hauts-de-France,28488.036785
164,2022-06-22,Centre-Val de Loire,14226.074214
165,2022-06-22,Hauts-de-France,28569.600193
166,2022-06-23,Centre-Val de Loire,14050.01472
167,2022-06-23,Hauts-de-France,28198.609373
168,2022-06-24,Centre-Val de Loire,13958.177848
169,2022-06-24,Hauts-de-France,28014.026434
170,2022-06-25,Centre-Val de Loire,13971.816813
171,2022-06-25,Hauts-de-France,28016.883973
172,2022-06-26,Centre-Val de Loire,13999.309956
173,2022-06-26,Hauts-de-France,28073.030052
174,2022-06-27,Centre-Val de Loire,13987.203181
175,2022-06-27,Hauts-de-France,28031.049185
176,2022-06-28,Centre-Val de Loire,13883.264529
177,2022-06-28,Hauts-de-France,27792.912694
178,2022-06-29,Centre-Val de Loire,14041.520426
179,2022-06-29,Hauts-de-France,28140.019463
180,2022-06-30,Centre-Val de Loire,14108.786148
181,2022-06-30,Hauts-de-France,28254.882106
182,2022-07-01,Centre-Val de Loire,13807.584567
183,2022-07-01,Hauts-de-France,26767.005205
184,2022-07-02,Centre-Val de Loire,13818.367279
185,2022-07-02,Hauts-de-France,26769.188249
186,2022-07-03,Centre-Val de Loire,13715.558299
187,2022-07-03,Hauts-de-France,26609.182475
188,2022-07-04,Centre-Val de Loire,13883.816344
189,2022-07-04,Hauts-de-France,26858.540038
190,2022-07-05,Centre-Val de Loire,13941.178586
191,2022-07-05,Hauts-de-France,26932.597952
192,2022-07-06,Centre-Val de Loire,14020.801041
193,2022-07-06,Hauts-de-France,27058.431374
194,2022-07-07,Centre-Val de Loire,13948.846091
195,2022-07-07,Hauts-de-France,26860.822004
196,2022-07-08,Centre-Val de Loire,14014.081296
197,2022-07-08,Hauts-de-France,26943.816222
198,2022-07-09,Centre-Val de Loire,13944.033637
199,2022-07-09,Hauts-de-France,26794.986507
200,2022-07-10,Centre-Val de Loire,13753.215402
201,2022-07-10,Hauts-de-France,26400.710663
202,2022-07-11,Centre-Val de Loire,13983.69351
203,2022-07-11,Hauts-de-France,26823.689784
204,2022-07-12,Centre-Val de Loire,14232.78374
205,2022-07-12,Hauts-de-France,27287.475075
206,2022-07-13,Centre-Val de Loire,14332.854216
207,2022-07-13,Hauts-de-France,27478.831855
208,2022-07-14,Centre-Val de Loire,14097.645576
209,2022-07-14,Hauts-de-France,27035.611622
210,2022-07-15,Centre-Val de Loire,14176.711777
211,2022-07-15,Hauts-de-France,27156.73622
212,2022-07-16,Centre-Val de Loire,14027.220478
213,2022-07-16,Hauts-de-France,26798.539125
214,2022-07-17,Centre-Val de Loire,14032.007131
215,2022-07-17,Hauts-de-France,26829.231353
216,2022-07-18,Centre-Val de Loire,14740.75556
217,2022-07-18,Hauts-de-France,28211.713016
218,2022-07-19,Centre-Val de Loire,15003.82156
219,2022-07-19,Hauts-de-France,28711.840816
220,2022-07-20,Centre-Val de Loire,14484.655323
221,2022-07-20,Hauts-de-France,27716.182928
222,2022-07-21,Centre-Val de Loire,14274.233687
223,2022-07-21,Hauts-de-France,27255.477747
224,2022-07-22,Centre-Val de Loire,14286.972802
225,2022-07-22,Hauts-de-France,27248.058507
226,2022-07-23,Centre-Val de Loire,14003.789735
227,2022-07-23,Hauts-de-France,26702.108379
228,2022-07-24,Centre-Val de Loire,13962.536473
229,2022-07-24,Hauts-de-France,26666.430219
230,2022-07-25,Centre-Val de Loire,14062.080819
231,2022-07-25,Hauts-de-France,26830.248749
232,2022-07-26,Centre-Val de Loire,13768.00876
233,2022-07-26,Hauts-de-France,26208.078062
234,2022-07-27,Centre-Val de Loire,13671.538041
235,2022-07-27,Hauts-de-France,26003.82268
236,2022-07-28,Centre-Val de Loire,13657.909824
237,2022-07-28,Hauts-de-France,25954.502062
238,2022-07-29,Centre-Val de Loire,13588.764124
239,2022-07-29,Hauts-de-France,25823.219514
240,2022-07-30,Centre-Val de Loire,13614.00202
241,2022-07-30,Hauts-de-France,25880.7538
242,2022-07-31,Centre-Val de Loire,13546.34845
243,2022-07-31,Hauts-de-France,25800.939213
244,2022-08-01,Centre-Val de Loire,13845.262866
245,2022-08-01,Hauts-de-France,26362.17674
246,2022-08-02,Centre-Val de Loire,14003.95378
247,2022-08-02,Hauts-de-France,26660.153485
248,2022-08-03,Centre-Val de Loire,14262.861327
249,2022-08-03,Hauts-de-France,27185.408622
